phrase,df_total,df_Belek,df_Algarve,prev_Belek,prev_Algarve,logodds_B_vs_A,z_B_vs_A,lift_Belek,with_B,without_B,lift_Algarve,with_A,without_A
hotel area,15,13,2,0.005163,0.000756,1.7282307158648447,2.4231625011074995,0.2197,13,2505,-1.7596,2,2643
hotel in the area,35,31,4,0.012311,0.001512,1.882017861959894,3.8132207834419822,-0.2234,31,2487,0.2421,4,2641
hotel management,18,14,4,0.00556,0.001512,1.166450115052914,2.134853902125862,-0.4212,14,2504,-1.5105,4,2641
hotel reception,22,5,17,0.001986,0.006427,-1.1884263325396347,-2.421832032967889,-0.3051,5,2513,-0.7927,17,2628
hotel restaurant,21,5,16,0.001986,0.006049,-1.1319065904751096,-2.286561407523272,0.0957,5,2513,0.1804,16,2629
hotel staff,111,67,44,0.026608,0.016635,0.3795099796479473,1.99883628455299,-0.1411,67,2451,-0.0546,44,2601
ice cream,99,80,19,0.031771,0.007183,1.3380811130952681,5.473837577811694,0.0728,80,2438,0.111,19,2626
icing on the cake,15,12,3,0.004766,0.001134,1.289932850860163,2.082503662498944,0.2969,12,2506,0.4089,3,2642
inclusive drink,10,9,1,0.003574,0.000378,2.009377011136378,2.073736074343444,-0.261,9,2509,-0.2583,1,2644
inclusive holiday,12,11,1,0.004369,0.000378,2.17629604522636,2.3043930805809065,-0.0685,11,2507,-0.2583,1,2644
inclusive hotel,40,33,7,0.013106,0.002647,1.4406457795911152,3.6302825857546854,0.0538,33,2485,-0.4021,7,2638
inclusive package,47,44,3,0.017474,0.001134,2.405668336405232,4.589881222133885,0.0,44,2474,-1.5934,3,2642
indoor pool,151,55,96,0.021843,0.036295,-0.5593351952371322,-3.3847809504381203,0.1348,55,2463,-0.2247,96,2549
irish bar,34,31,3,0.012311,0.001134,2.125246738303436,3.866160783243539,-0.2887,31,2487,0.7426,3,2642
italian restaurant,62,41,21,0.016283,0.00794,0.61682855886587,2.35562917217734,-0.1707,41,2477,-0.0683,21,2624
japanese restaurant,16,13,3,0.005163,0.001134,1.3634473892149899,2.2247386405742646,0.1424,13,2505,-0.9259,3,2642
junior suite,20,4,16,0.001589,0.006049,-1.3388735447984406,-2.4959024040032034,-0.2049,4,2514,-0.134,16,2629
large hotel,21,17,4,0.006751,0.001512,1.3457147234154414,2.529017603999119,-0.2948,17,2501,-0.7594,4,2641
last night,33,10,23,0.003971,0.008696,-0.8212302826875426,-2.227540481018708,-0.7073,10,2508,-0.3482,23,2622
last time,29,21,8,0.00834,0.003025,0.8972381910308593,2.2244994946856957,-0.3743,21,2497,0.3679,8,2637
last year,114,69,45,0.027403,0.017013,0.38617391293959,2.059863058949841,-0.173,69,2449,-0.0366,45,2600
live band,25,22,3,0.008737,0.001134,1.8339994304095377,3.1963144718900063,-0.0229,22,2496,-0.2585,3,2642
